央视,#genre#
家庭影院,http://115.171.216.195:4000/udp/225.1.8.253:4120
幸福剧场,http://115.171.216.195:4000/udp/225.1.8.98:8002
幸福娱乐,http://115.171.216.195:4000/udp/225.1.8.99:8002
武侠剧场,http://115.171.216.195:4000/udp/225.1.8.250:4120
每日影院,http://115.171.216.195:4000/udp/225.1.8.97:8002
爱上4K,http://1.203.184.43:4022/udp/225.1.8.80:2000
爱上4K,http://115.171.216.195:4000/udp/225.1.8.80:2000
爱生活,http://1.203.184.43:4022/udp/225.1.8.246:4120
爱生活,http://115.171.216.195:4000/udp/225.1.8.246:4120
纪实人文,http://1.203.184.43:4022/udp/225.1.8.53:8060
纪实人文,http://115.171.216.195:4000/udp/225.1.8.53:8060
